,Gender,Race,Year,pct,CrimeType,Arrested,Frisked,Searched,HandCuff,PepperSpray,Firearm,Other,CEW,Stopped,Verbal,Summons
23691,Male,White,2005,24,Theft,0,0,0,0,0,0,0,0,1,0,0
32955,Male,Black,2005,24,Tresspass,0,4,2,0,0,0,1,0,12,0,0
32956,Male,Hispanic,2005,24,Tresspass,0,4,2,0,0,0,1,0,6,0,0
32957,Male,White,2005,24,Tresspass,0,0,0,0,0,0,0,0,2,0,0
40101,Male,Black,2005,24,Weapon,0,2,0,0,0,0,0,0,3,0,1
40102,Male,Hispanic,2005,24,Weapon,0,1,1,0,0,0,1,0,3,0,0
40103,Male,White,2005,24,Weapon,0,1,0,0,0,0,1,0,1,0,0
1522,Female,Black,2005,25,Assault,0,0,0,0,0,0,1,0,1,0,0
1523,Male,Black,2005,25,Assault,0,0,0,0,0,0,0,0,1,0,0
1524,Female,Hispanic,2005,25,Assault,0,0,0,0,0,0,1,0,1,0,0
1525,Male,Hispanic,2005,25,Assault,2,3,2,1,0,0,1,0,3,0,0
8852,Male,Black,2005,25,Other,1,3,1,0,0,0,1,0,8,0,1
